Ngày,Thứ,Nguyên liệu,Số lượng bán (kg),Thời tiết,Ngày lễ
2023-01-02,Monday,Thịt heo rừng,35.0,Mưa,Không
2023-01-02,Monday,Cá chép,175.0,Nắng,Không
2023-01-02,Monday,Cá rô phi,49.0,Mưa,Không
2023-01-02,Monday,Cá trê,72.0,Mưa,Không
2023-01-02,Monday,Cá bống,126.0,Nắng,Không
2023-01-02,Monday,Cá cơm,37.0,Mưa,Không
2023-01-02,Monday,Cá kèo,73.0,Mưa,Không
2023-01-02,Monday,Cá linh,8.0,Nắng,Không
2023-01-02,Monday,Cá lăng,127.0,Nắng,Không
2023-01-02,Monday,Cá mè,37.0,Mưa,Không
2023-01-02,Monday,Cá trắm,185.0,Nắng,Không
2023-01-02,Monday,Tôm càng xanh,72.0,Mưa,Không
2023-01-02,Monday,Tôm đất,161.0,Nắng,Không
2023-01-02,Monday,Tôm thẻ,64.0,Mưa,Không
2023-01-02,Monday,Tôm bạc,17.0,Nắng,Không
2023-01-02,Monday,Mực lá,24.0,Mưa,Không
2023-01-02,Monday,Mực trứng,165.0,Nắng,Không
2023-01-02,Monday,Mực cơm,69.0,Mưa,Không
2023-01-02,Monday,Mực sữa,41.0,Nắng,Không
2023-01-02,Monday,Cua gạch,64.0,Nắng,Không
2023-01-02,Monday,Cua thịt,14.0,Mưa,Không
2023-01-02,Monday,Sườn heo,35.0,Nắng,Không
2023-01-02,Monday,Sườn bò,85.0,Nắng,Không
2023-01-02,Monday,Thăn bò,198.0,Nắng,Không
2023-01-02,Monday,Thịt bò bắp,30.0,Mưa,Không
2023-01-02,Monday,Thịt bò gân,48.0,Mưa,Không
2023-01-02,Monday,Thịt bò phi lê,186.0,Nắng,Không
2023-01-02,Monday,Thịt bò xay,97.0,Mưa,Không
2023-01-02,Monday,Thịt bò nạc,169.0,Nắng,Không
2023-01-02,Monday,Thịt bò ba chỉ,58.0,Nắng,Không
2023-01-02,Monday,Thịt bò thăn nội,73.0,Mưa,Không
2023-01-03,Tuesday,Rau muống,40.0,Mưa,Không
2023-01-03,Tuesday,Rau mồng tơi,98.0,Mưa,Không
2023-01-03,Tuesday,Rau nhút,41.0,Mưa,Không
2023-01-03,Tuesday,Rau răm,31.0,Nắng,Không
2023-01-03,Tuesday,Dưa leo,178.0,Nắng,Không
2023-01-03,Tuesday,Cà chua bi,24.0,Mưa,Không
2023-01-03,Tuesday,Cà chua,189.0,Nắng,Không
2023-01-03,Tuesday,Khoai tây,15.0,Mưa,Không
2023-01-03,Tuesday,Khoai lang,71.0,Nắng,Không
2023-01-03,Tuesday,Khoai mì,36.0,Mưa,Không
2023-01-03,Tuesday,Thịt heo,6.0,Mưa,Không
2023-01-03,Tuesday,Thịt bò,84.0,Mưa,Không
2023-01-03,Tuesday,Thịt lợn,90.0,Mưa,Không
2023-01-03,Tuesday,Thịt gà,93.0,Mưa,Không
2023-01-03,Tuesday,Thịt cừu,72.0,Nắng,Không
2023-01-03,Tuesday,Cá basa,172.0,Nắng,Không
2023-01-03,Tuesday,Cá hồi,47.0,Mưa,Không
2023-01-03,Tuesday,Cá thu,53.0,Nắng,Không
2023-01-03,Tuesday,Cá ngừ,62.0,Nắng,Không
2023-01-03,Tuesday,Cá lóc,9.0,Nắng,Không
2023-01-03,Tuesday,Tôm sú,170.0,Nắng,Không
2023-01-03,Tuesday,Tôm hùm,148.0,Nắng,Không
2023-01-03,Tuesday,Mực ống,77.0,Mưa,Không
2023-01-03,Tuesday,Mực nang,2.0,Mưa,Không
2023-01-03,Tuesday,Cua đồng,170.0,Nắng,Không
2023-01-03,Tuesday,Cua biển,105.0,Nắng,Không
2023-01-03,Tuesday,Sườn cốt lết,72.0,Nắng,Không
2023-01-03,Tuesday,Sườn non,26.0,Mưa,Không
2023-01-03,Tuesday,Thăn heo,86.0,Mưa,Không
2023-01-03,Tuesday,Thịt ba chỉ,67.0,Mưa,Không
2023-01-03,Tuesday,Rau cải,94.0,Mưa,Không
2023-01-03,Tuesday,Rau ngót,5.0,Nắng,Không
2023-01-03,Tuesday,Rau đay,68.0,Mưa,Không
2023-01-03,Tuesday,Rau dền,129.0,Nắng,Không
2023-01-03,Tuesday,Rau má,99.0,Nắng,Không
2023-01-03,Tuesday,Rau thơm,3.0,Mưa,Không
2023-01-03,Tuesday,Rau húng,123.0,Nắng,Không
2023-01-03,Tuesday,Rau quế,179.0,Nắng,Không
2023-01-03,Tuesday,Rau mùi,13.0,Nắng,Không
2023-01-03,Tuesday,Rau tía tô,161.0,Nắng,Không
2023-01-03,Tuesday,Cà rốt,57.0,Mưa,Không
2023-01-03,Tuesday,Củ cải trắng,9.0,Nắng,Không
2023-01-03,Tuesday,Củ cải đỏ,92.0,Nắng,Không
2023-01-03,Tuesday,Bí đỏ,47.0,Mưa,Không
2023-01-03,Tuesday,Bí xanh,157.0,Nắng,Không
2023-01-03,Tuesday,Bí đao,140.0,Nắng,Không
2023-01-03,Tuesday,Bí ngô,69.0,Mưa,Không
2023-01-03,Tuesday,Bí phấn,40.0,Mưa,Không
2023-01-03,Tuesday,Bí đao,30.0,Mưa,Không
2023-01-03,Tuesday,Bí ngô,36.0,Mưa,Không
2023-01-03,Tuesday,Thịt vịt,26.0,Mưa,Không
2023-01-03,Tuesday,Thịt ngan,175.0,Nắng,Không
2023-01-03,Tuesday,Thịt ngỗng,29.0,Nắng,Không
2023-01-03,Tuesday,Thịt chim,49.0,Nắng,Không
2023-01-03,Tuesday,Thịt thỏ,23.0,Mưa,Không
2023-01-03,Tuesday,Thịt nai,43.0,Mưa,Không
2023-01-03,Tuesday,Thịt đà điểu,81.0,Nắng,Không
2023-01-03,Tuesday,Thịt trâu,23.0,Mưa,Không
2023-01-03,Tuesday,Thịt dê,37.0,Mưa,Không
2023-01-03,Tuesday,Thịt heo rừng,50.0,Mưa,Không
2023-01-03,Tuesday,Cá chép,11.0,Mưa,Không
2023-01-03,Tuesday,Cá rô phi,39.0,Mưa,Không
2023-01-03,Tuesday,Cá trê,60.0,Nắng,Không
2023-01-03,Tuesday,Cá bống,142.0,Nắng,Không
2023-01-03,Tuesday,Cá cơm,68.0,Mưa,Không
2023-01-03,Tuesday,Cá kèo,89.0,Nắng,Không
2023-01-03,Tuesday,Cá linh,6.0,Mưa,Không
2023-01-03,Tuesday,Cá lăng,75.0,Nắng,Không
2023-01-03,Tuesday,Cá mè,156.0,Nắng,Không
2023-01-03,Tuesday,Cá trắm,60.0,Mưa,Không
2023-01-03,Tuesday,Tôm càng xanh,4.0,Mưa,Không
2023-01-03,Tuesday,Tôm đất,2.0,Mưa,Không
2023-01-03,Tuesday,Tôm thẻ,118.0,Nắng,Không
2023-01-03,Tuesday,Tôm bạc,11.0,Mưa,Không
2023-01-03,Tuesday,Mực lá,19.0,Nắng,Không
2023-01-03,Tuesday,Mực trứng,53.0,Mưa,Không
2023-01-03,Tuesday,Mực cơm,100.0,Nắng,Không
2023-01-03,Tuesday,Mực sữa,53.0,Mưa,Không
2023-01-03,Tuesday,Cua gạch,14.0,Mưa,Không
2023-01-03,Tuesday,Cua thịt,41.0,Mưa,Không
2023-01-03,Tuesday,Sườn heo,15.0,Mưa,Không
2023-01-03,Tuesday,Sườn bò,40.0,Mưa,Không
2023-01-03,Tuesday,Thăn bò,88.0,Mưa,Không
2023-01-03,Tuesday,Thịt bò bắp,196.0,Nắng,Không
2023-01-03,Tuesday,Thịt bò gân,94.0,Mưa,Không
2023-01-03,Tuesday,Thịt bò phi lê,56.0,Mưa,Không
2023-01-03,Tuesday,Thịt bò xay,76.0,Nắng,Không
2023-01-03,Tuesday,Thịt bò nạc,59.0,Mưa,Không
2023-01-03,Tuesday,Thịt bò ba chỉ,24.0,Nắng,Không
2023-01-03,Tuesday,Thịt bò thăn nội,26.0,Nắng,Không
2023-01-04,Wednesday,Rau muống,101.0,Nắng,Không
2023-01-04,Wednesday,Rau mồng tơi,13.0,Nắng,Không
2023-01-04,Wednesday,Rau nhút,58.0,Mưa,Không
2023-01-04,Wednesday,Rau răm,20.0,Mưa,Không
2023-01-04,Wednesday,Dưa leo,47.0,Mưa,Không
2023-01-04,Wednesday,Cà chua bi,99.0,Nắng,Không
2023-01-04,Wednesday,Cà chua,46.0,Mưa,Không
2023-01-04,Wednesday,Khoai tây,25.0,Nắng,Không
2023-01-04,Wednesday,Khoai lang,50.0,Nắng,Không
2023-01-04,Wednesday,Khoai mì,162.0,Nắng,Không
2023-01-04,Wednesday,Thịt heo,22.0,Mưa,Không
2023-01-04,Wednesday,Thịt bò,146.0,Mưa,Không
2023-01-04,Wednesday,Thịt lợn,122.0,Nắng,Không
2023-01-04,Wednesday,Thịt gà,63.0,Nắng,Không
2023-01-04,Wednesday,Thịt cừu,87.0,Mưa,Không
2023-01-04,Wednesday,Cá basa,176.0,Nắng,Không
2023-01-04,Wednesday,Cá hồi,107.0,Nắng,Không
2023-01-04,Wednesday,Cá thu,73.0,Nắng,Không
2023-01-04,Wednesday,Cá ngừ,2.0,Mưa,Không
2023-01-04,Wednesday,Cá lóc,41.0,Mưa,Không
2023-01-04,Wednesday,Tôm sú,3.0,Mưa,Không
2023-01-04,Wednesday,Tôm hùm,175.0,Nắng,Không
2023-01-04,Wednesday,Mực ống,25.0,Nắng,Không
2023-01-04,Wednesday,Mực nang,41.0,Mưa,Không
2023-01-04,Wednesday,Cua đồng,88.0,Mưa,Không
2023-01-04,Wednesday,Cua biển,27.0,Nắng,Không
2023-01-04,Wednesday,Sườn cốt lết,164.0,Nắng,Không
2023-01-04,Wednesday,Sườn non,98.0,Mưa,Không
2023-01-04,Wednesday,Thăn heo,15.0,Nắng,Không
2023-01-04,Wednesday,Thịt ba chỉ,161.0,Nắng,Không
2023-01-04,Wednesday,Rau cải,17.0,Nắng,Không
2023-01-04,Wednesday,Rau ngót,94.0,Mưa,Không
2023-01-04,Wednesday,Rau đay,59.0,Nắng,Không
2023-01-04,Wednesday,Rau dền,146.0,Nắng,Không
2023-01-04,Wednesday,Rau má,117.0,Nắng,Không
2023-01-04,Wednesday,Rau thơm,57.0,Mưa,Không
2023-01-04,Wednesday,Rau húng,107.0,Nắng,Không
2023-01-04,Wednesday,Rau quế,123.0,Nắng,Không
2023-01-04,Wednesday,Rau mùi,21.0,Mưa,Không
2023-01-04,Wednesday,Rau tía tô,167.0,Nắng,Không
2023-01-04,Wednesday,Cà rốt,75.0,Nắng,Không
2023-01-04,Wednesday,Củ cải trắng,186.0,Nắng,Không
2023-01-04,Wednesday,Củ cải đỏ,71.0,Mưa,Không
2023-01-04,Wednesday,Bí đỏ,24.0,Nắng,Không
2023-01-04,Wednesday,Bí xanh,50.0,Nắng,Không
2023-01-04,Wednesday,Bí đao,51.0,Mưa,Không
2023-01-04,Wednesday,Bí ngô,87.0,Nắng,Không
2023-01-04,Wednesday,Bí phấn,80.0,Mưa,Không
2023-01-04,Wednesday,Bí đao,73.0,Mưa,Không
2023-01-04,Wednesday,Bí ngô,46.0,Mưa,Không
2023-01-04,Wednesday,Thịt vịt,169.0,Nắng,Không
2023-01-04,Wednesday,Thịt ngan,63.0,Mưa,Không
2023-01-04,Wednesday,Thịt ngỗng,177.0,Nắng,Không
2023-01-04,Wednesday,Thịt chim,30.0,Nắng,Không
2023-01-04,Wednesday,Thịt thỏ,30.0,Mưa,Không
2023-01-04,Wednesday,Thịt nai,14.0,Mưa,Không
2023-01-04,Wednesday,Thịt đà điểu,14.0,Nắng,Không
2023-01-04,Wednesday,Thịt trâu,21.0,Mưa,Không
2023-01-04,Wednesday,Thịt dê,21.0,Mưa,Không
2023-01-04,Wednesday,Thịt heo rừng,93.0,Mưa,Không
2023-01-04,Wednesday,Cá chép,47.0,Nắng,Không
2023-01-04,Wednesday,Cá rô phi,161.0,Nắng,Không
2023-01-04,Wednesday,Cá trê,44.0,Nắng,Không
2023-01-04,Wednesday,Cá bống,15.0,Nắng,Không
2023-01-04,Wednesday,Cá cơm,6.0,Mưa,Không
2023-01-04,Wednesday,Cá kèo,19.0,Mưa,Không
2023-01-04,Wednesday,Cá linh,156.0,Nắng,Không
2023-01-04,Wednesday,Cá lăng,166.0,Nắng,Không
2023-01-04,Wednesday,Cá mè,99.0,Nắng,Không
2023-01-04,Wednesday,Cá trắm,78.0,Mưa,Không
2023-01-04,Wednesday,Tôm càng xanh,10.0,Mưa,Không
2023-01-04,Wednesday,Tôm đất,82.0,Mưa,Không
2023-01-04,Wednesday,Tôm thẻ,191.0,Nắng,Không
2023-01-04,Wednesday,Tôm bạc,92.0,Mưa,Không
2023-01-04,Wednesday,Mực lá,78.0,Mưa,Không
2023-01-04,Wednesday,Mực trứng,143.0,Nắng,Không
2023-01-04,Wednesday,Mực cơm,118.0,Nắng,Không
2023-01-04,Wednesday,Mực sữa,97.0,Mưa,Không
2023-01-04,Wednesday,Cua gạch,35.0,Mưa,Không
2023-01-04,Wednesday,Cua thịt,23.0,Mưa,Không
2023-01-04,Wednesday,Sườn heo,39.0,Mưa,Không
2023-01-04,Wednesday,Sườn bò,22.0,Mưa,Không
2023-01-04,Wednesday,Thăn bò,110.0,Nắng,Không
2023-01-04,Wednesday,Thịt bò bắp,41.0,Mưa,Không
2023-01-04,Wednesday,Thịt bò gân,130.0,Nắng,Không
2023-01-04,Wednesday,Thịt bò phi lê,5.0,Nắng,Không
2023-01-04,Wednesday,Thịt bò xay,76.0,Mưa,Không
2023-01-04,Wednesday,Thịt bò nạc,8.0,Nắng,Không
2023-01-04,Wednesday,Thịt bò ba chỉ,79.0,Mưa,Không
2023-01-04,Wednesday,Thịt bò thăn nội,148.0,Nắng,Không
2023-01-05,Thursday,Rau muống,22.0,Mưa,Không
2023-01-05,Thursday,Rau mồng tơi,36.0,Nắng,Không
2023-01-05,Thursday,Rau nhút,86.0,Nắng,Không
2023-01-05,Thursday,Rau răm,199.0,Nắng,Không
2023-01-05,Thursday,Dưa leo,56.0,Nắng,Không
2023-01-05,Thursday,Cà chua bi,83.0,Mưa,Không
2023-01-05,Thursday,Cà chua,75.0,Nắng,Không
2023-01-05,Thursday,Khoai tây,78.0,Mưa,Không
2023-01-05,Thursday,Khoai lang,76.0,Nắng,Không
2023-01-05,Thursday,Khoai mì,77.0,Mưa,Không
2023-01-05,Thursday,Thịt heo,156.0,Nắng,Không
2023-01-05,Thursday,Thịt bò,141.0,Nắng,Không
2023-01-05,Thursday,Thịt lợn,181.0,Nắng,Không
2023-01-05,Thursday,Thịt gà,51.0,Nắng,Không
2023-01-05,Thursday,Thịt cừu,82.0,Mưa,Không
2023-01-05,Thursday,Cá basa,77.0,Mưa,Không
2023-01-05,Thursday,Cá hồi,22.0,Mưa,Không
2023-01-05,Thursday,Cá thu,98.0,Nắng,Không
2023-01-05,Thursday,Cá ngừ,99.0,Mưa,Không
2023-01-05,Thursday,Cá lóc,14.0,Mưa,Không
2023-01-05,Thursday,Tôm sú,18.0,Mưa,Không
2023-01-05,Thursday,Tôm hùm,45.0,Mưa,Không
2023-01-05,Thursday,Mực ống,83.0,Nắng,Không
2023-01-05,Thursday,Mực nang,97.0,Mưa,Không
2023-01-05,Thursday,Cua đồng,93.0,Nắng,Không
2023-01-05,Thursday,Cua biển,165.0,Nắng,Không
2023-01-05,Thursday,Sườn cốt lết,161.0,Nắng,Không
2023-01-05,Thursday,Sườn non,58.0,Mưa,Không
2023-01-05,Thursday,Thăn heo,23.0,Nắng,Không
2023-01-05,Thursday,Thịt ba chỉ,20.0,Mưa,Không
2023-01-05,Thursday,Rau cải,21.0,Mưa,Không
2023-01-05,Thursday,Rau ngót,80.0,Mưa,Không
2023-01-05,Thursday,Rau đay,6.0,Mưa,Không
2023-01-05,Thursday,Rau dền,64.0,Mưa,Không
2023-01-05,Thursday,Rau má,11.0,Mưa,Không
2023-01-05,Thursday,Rau thơm,44.0,Mưa,Không
2023-01-05,Thursday,Rau húng,81.0,Mưa,Không
2023-01-05,Thursday,Rau quế,88.0,Nắng,Không
2023-01-05,Thursday,Rau mùi,90.0,Nắng,Không
2023-01-05,Thursday,Rau tía tô,70.0,Mưa,Không
2023-01-05,Thursday,Cà rốt,15.0,Mưa,Không
2023-01-05,Thursday,Củ cải trắng,103.0,Nắng,Không
2023-01-05,Thursday,Củ cải đỏ,60.0,Mưa,Không
2023-01-05,Thursday,Bí đỏ,139.0,Nắng,Không
2023-01-05,Thursday,Bí xanh,94.0,Nắng,Không
2023-01-05,Thursday,Bí đao,43.0,Mưa,Không
2023-01-05,Thursday,Bí ngô,93.0,Nắng,Không
2023-01-05,Thursday,Bí phấn,114.0,Nắng,Không
2023-01-05,Thursday,Bí đao,118.0,Nắng,Không
2023-01-05,Thursday,Bí ngô,187.0,Nắng,Không
2023-01-05,Thursday,Thịt vịt,142.0,Nắng,Không
2023-01-05,Thursday,Thịt ngan,4.0,Mưa,Không
2023-01-05,Thursday,Thịt ngỗng,106.0,Nắng,Không
2023-01-05,Thursday,Thịt chim,46.0,Nắng,Không
2023-01-05,Thursday,Thịt thỏ,39.0,Mưa,Không
2023-01-05,Thursday,Thịt nai,68.0,Nắng,Không
2023-01-05,Thursday,Thịt đà điểu,105.0,Nắng,Không
2023-01-05,Thursday,Thịt trâu,95.0,Mưa,Không
2023-01-05,Thursday,Thịt dê,2.0,Mưa,Không
2023-01-05,Thursday,Thịt heo rừng,1.0,Nắng,Không
2023-01-05,Thursday,Cá chép,55.0,Mưa,Không
2023-01-05,Thursday,Cá rô phi,112.0,Nắng,Không
2023-01-05,Thursday,Cá trê,169.0,Nắng,Không
2023-01-05,Thursday,Cá bống,11.0,Nắng,Không
2023-01-05,Thursday,Cá cơm,175.0,Nắng,Không
2023-01-05,Thursday,Cá kèo,162.0,Nắng,Không
2023-01-05,Thursday,Cá linh,88.0,Mưa,Không
2023-01-05,Thursday,Cá lăng,56.0,Mưa,Không
2023-01-05,Thursday,Cá mè,11.0,Nắng,Không
2023-01-05,Thursday,Cá trắm,44.0,Nắng,Không
2023-01-05,Thursday,Tôm càng xanh,87.0,Mưa,Không
2023-01-05,Thursday,Tôm đất,81.0,Mưa,Không
2023-01-05,Thursday,Tôm thẻ,58.0,Mưa,Không
2023-01-05,Thursday,Tôm bạc,66.0,Mưa,Không
2023-01-05,Thursday,Mực lá,144.0,Nắng,Không
2023-01-05,Thursday,Mực trứng,73.0,Mưa,Không
2023-01-05,Thursday,Mực cơm,23.0,Nắng,Không
2023-01-05,Thursday,Mực sữa,99.0,Nắng,Không
2023-01-05,Thursday,Cua gạch,56.0,Mưa,Không
